date,region,channel,revenue,units,discount_pct,rating,churned
2024-05-02,North,Retail,1622.06,33,13.7,4.5,0
2024-05-03,East,Online,1424.98,31,13.5,5.0,0
2024-05-04,East,Online,1362.33,21,9.0,4.5,1
2024-05-05,East,Online,1374.65,31,4.7,5.0,0
2024-05-06,East,Retail,1283.38,23,14.3,3.6,0
2024-05-07,East,Online,1422.15,30,7.8,4.2,0
2024-05-08,South,Online,1154.77,24,8.5,3.5,0
2024-05-09,East,Retail,1451.35,33,6.6,4.0,0
2024-05-10,South,Online,1290.4,28,4.4,4.6,0
2024-05-11,South,Online,1450.21,23,2.1,,0
2024-05-12,East,Retail,1327.35,25,10.5,3.3,1
2024-05-13,South,Partner,1279.37,27,4.9,3.3,1
2024-05-14,South,Online,1414.16,28,20.2,3.3,0
2024-05-15,East,Online,1493.4,32,3.7,4.4,0
2024-05-16,West,Online,1122.83,25,3.0,5.0,0
2024-05-17,West,Retail,1188.8,26,10.0,4.9,0
2024-05-18,South,Retail,,26,14.1,3.0,1
2024-05-19,South,Online,1316.62,21,8.3,,0
2024-05-20,East,Retail,1370.49,27,10.3,4.7,0
2024-05-21,South,Online,1294.07,28,0.6,3.2,1
2024-05-22,West,Online,1069.06,19,5.3,3.9,0
2024-05-23,South,Partner,1313.22,29,3.7,4.8,0
2024-05-24,North,Online,1610.22,36,0.4,4.4,0
2024-05-25,North,Online,1564.88,32,8.5,3.3,1
2024-05-26,West,Online,1074.11,13,0.0,,0
2024-05-27,North,Retail,1654.16,30,2.7,2.8,1
2024-05-28,North,Partner,1612.56,39,5.9,4.0,0
2024-05-29,South,Partner,1263.26,24,4.7,4.8,0
2024-05-30,North,Online,1571.56,26,9.6,4.1,0
2024-05-31,South,Online,1212.47,28,9.2,3.8,0
2024-06-01,East,Retail,1370.18,28,11.6,4.6,0
2024-06-02,North,Online,1559.79,35,11.0,4.7,0
2024-06-03,West,Partner,1285.63,27,12.6,,0
2024-06-04,West,Retail,1156.43,25,8.0,4.6,0
2024-06-05,South,Online,1370.93,29,9.2,4.7,0
2024-06-06,North,Retail,1568.08,34,10.0,4.5,0
2024-06-07,East,Online,1470.6,37,8.6,4.3,0
2024-06-08,North,Online,1600.02,36,6.4,4.2,1
2024-06-09,South,Retail,1394.11,24,6.7,4.0,0
2024-06-10, north ,Retail,1173.12,25,4.7,3.4,1
2024-06-11,West,Retail,1102.04,26,9.7,3.5,0
2024-06-12,East,Retail,1365.9,32,7.6,3.9,0
2024-06-13,South,Partner,,25,5.3,4.2,0
2024-06-14,East,Partner,1378.97,32,5.4,5.0,0
2024-06-15,East,Retail,1496.99,33,3.2,4.1,0
2024-06-16,South,Online,1312.44,35,11.9,4.7,0
2024-06-17, north ,Retail,1638.26,31,8.3,4.7,0
2024-06-18,North,Partner,1509.08,29,4.5,4.0,0
2024-06-19,North,Online,1647.05,33,11.2,4.5,0
2024-06-20,South,Online,1272.96,25,5.8,4.0,0
2024-06-21,North,Online,1602.42,30,2.4,4.9,0
2024-06-22,North,Online,1648.94,26,12.1,4.5,0
2024-06-23,West,Retail,1068.06,20,5.9,3.4,0
2024-06-24,West,Online,1248.98,27,6.4,4.2,0
2024-06-25,East,Retail,1620.28,32,8.2,5.0,0
2024-06-26,West,Retail,1203.78,30,12.6,4.0,0
2024-06-27,West,Retail,1255.27,26,8.1,4.4,1
2024-06-28,North,Online,1723.26,39,3.2,,0
2024-06-29,South,Online,1355.92,29,10.2,3.5,0
2024-06-30,South,Retail,1328.45,30,6.1,4.4,0
2024-07-01,North,Retail,1498.46,32,15.6,3.3,1
2024-07-02,East,Online,1545.11,36,8.0,3.7,0
2024-07-03,South,Partner,1366.36,28,0.0,4.7,0
2024-07-04,South,Online,1305.11,28,9.4,4.3,0
2024-07-05,North,Partner,1674.94,35,15.8,3.9,0
2024-07-06,North,Online,1627.3,33,14.3,4.4,0
2024-07-07,West,Online,1215.69,26,15.3,4.1,0
2024-07-08,North,Retail,1714.76,42,3.9,4.1,1
2024-07-09,North,Online,1580.71,32,11.6,4.5,0
2024-07-10,North,Online,,37,5.1,3.7,0
2024-07-11,South,Online,1290.2,30,8.9,4.1,0
2024-07-12,East,Online,1472.65,34,2.9,3.9,0
2024-07-13,South,Retail,1526.09,31,5.4,3.1,1
2024-07-14,North,Online,1763.71,29,5.3,3.5,0
2024-07-15,North,Retail,1693.71,36,11.6,5.0,0
2024-07-16,West,Retail,1200.88,18,11.2,4.3,0
2024-07-17,East,Online,1491.39,35,9.1,3.3,1
2024-07-18,East,Online,1535.45,32,2.6,3.2,1
2024-07-19,East,Partner,1534.83,34,6.8,4.0,0
2024-07-20,East,Retail,1527.72,29,5.0,5.0,0
2024-07-21,North,Retail,1697.2,30,11.5,4.0,1
2024-07-22,South,Retail,1391.95,29,12.7,4.9,0
2024-07-23,South,Online,1307.74,27,12.2,4.3,0
2024-07-24,South,Online,1374.24,27,5.0,4.4,0
2024-07-25,West,Retail,1344.78,28,0.0,3.3,0
2024-07-26,South,Online,1318.06,35,0.9,4.7,0
2024-07-27,East,Retail,1533.97,34,13.7,3.9,0
2024-07-28,West,Retail,1228.06,28,6.4,4.6,0
2024-07-29,South,Retail,1426.79,32,5.0,3.6,0
2024-07-30,West,Online,1261.36,30,14.6,4.2,0
2024-07-31,East,Online,1658.18,33,13.1,4.3,0
2024-08-01,West,Online,1327.14,21,8.1,4.0,0
2024-08-02,South,Online,1334.05,27,6.8,4.3,0
2024-08-03,South,Retail,1474.59,33,7.5,3.9,0
2024-08-04, north ,Online,1375.09,25,8.9,3.7,0
2024-08-05,North,Online,1690.17,34,14.4,5.0,0
2024-08-06,South,Online,1454.73,28,9.7,4.7,0
2024-08-07,West,Online,1266.62,30,10.9,3.6,0
2024-08-08,East,Retail,1632.3,36,12.7,4.4,0
2024-08-09,North,Online,1684.66,37,3.3,3.7,0
2024-08-10,South,Partner,1396.31,30,11.0,3.4,0
2024-08-11,North,Online,1697.09,35,6.8,4.7,0
2024-08-12,North,Retail,1705.53,36,0.0,3.1,1
2024-08-13,West,Online,1387.34,25,0.0,4.7,0
2024-08-14,South,Online,1490.54,24,3.9,3.9,0
2024-08-15,South,Partner,1567.94,33,10.1,4.0,0
2024-08-16,East,Partner,1743.58,37,8.5,4.3,0
2024-08-17, north ,Partner,1683.37,38,8.7,4.4,0
2024-08-18,North,Online,1762.53,41,15.8,3.6,0
2024-08-19,East,Online,1508.15,36,2.9,4.5,0
2024-08-20,East,Retail,1537.93,29,7.9,4.2,0
2024-08-21,West,Online,1278.77,25,9.2,3.3,0
2024-08-22,East,Retail,1522.12,33,5.1,4.0,0
